Audio ID,Transcription
126,बाइक ढकने वाला कवर 
127,सोफा लेदर वाला लेदर वाला सोफा
128,सोफा कवर्स दिखाना सोफा कवर आई नीड सोफा कवर्स राइट नाऊ रहूँ
129,आर ओ वाटर प्यूरीफायर है क्या सस्ता वाला
130,टी शर्ट
131,कारवाटरप्रूफ बैग
132,
133,भारतअए चुप बैठ
134,स्केट बाईसाइकल 
135,ऑफिशियलसैमसंग जे टू का बैटरी सो दैट यू कैन स्पीक विदाउट 
136,ऐड लेज इन द बास्केट
137,माँगावेडिंग में पहन्ने वाले सैंडल्स दिखाइये हमने जमीन पे
138,एल ट्वेंटी वन टेन टेन टेन टेन टेन 
139,बजाज का मिक्सर 
140,आईफोन एस इ ट्वेंटी ट्वेंटी व्हाइट कलर आई फॉरविथ एक्सचेंज
141,लेडीज के लिए घड़ी दिखाओ टाइटन का
142,केक कटहाउस 
143,वुडलैंड शूज विथ गुड ऑफर्स 
144,स्टडी टेबल
145,सैनडिस्क सिक्सटी फॉर जी बी वाला पेनड्राइव्सवाला 
146,आई एम लुकिंग फॉर एकॉस्टिक स्टेनलेस स्टील गिटार स्ट्रिंग्स रोते रोते नहीं
147,मुझे एक किलो बुलेट ड्रेस चाहिए
148,टी शर्ट
149,बच्चों का स्पाइडर मैन वाला कपड़ा 
150,पॉण्डस पाउडर में कितने फ्रेगरेंस
151,किसी के दिल कारपेट दिखाना कारपेट रेड कलर का कारपेट 
152,आई वांट अ फोन वॉच
153,कैडबरी डेयरी मिल्क चॉकलेटव्हेन आई हैव टेकन टू नेम सेलेक्शन व्हेन आई 
154,एकबार कार्ट को दिखाना मुझे
155,चप्पल बताए 
156,एलोवेरा जेल दिखाईएआपके पास होगा चुप रहो 
157,
158,एक रूपया वाला चीनी दिखाओ
159,एक किलो आटा 
160,ये पार्ले जी बिस्कुट कितने का हैं
161,शो मी फर्नीचर स्टील डील्स 
162,निवियास स्टॉर्म फुटबॉल साइज फाइव सोच मुमताज ने अपने हातो से 
163,जाके दबंग वाला चस्मा दिखाओ जरा फलक से आगे तू जाके 
164,ब्लूटूथ हेड सेटअंडरटू थाउजेंड फाइव हंड्रेडविथ लेस डिस्काउंट 
165,टेस्ट करने में किया जाता हैं शो मी अर्जुन रेड्डी सनग्लासेस प्लीजकाम कर पाएगा या फिर वो हार मान लेगा
166,सोनी ब्राविया एल ई डी टी वी विथ अमेजिंग पिक्चर क्वालिटी सबको 
167,पच्चीस किलो का राइस 
168,लोकडाउन डिलीवरी चार्जेस क्या हैंप्रामानिक घरा बाहर परसुचित्र हैं
169,जी ले नाकॉटन सूट जी ले ना 
170,पांच किलो आटा
171,लिपस्टिक दिखाइए अच्छा ब्रांड्स का
172,शर्ट मुझसे शो मी रेड कलर लैक्मे लिपस्टिक 
173,क्या बोल रहा हैं वोमार दिया क्या एक नीयते को मारा करके कैमरा दिखाओ 
174,फुल शॉट लैक्मे लिपस्टिक हू इज बीन वेटिंग 
175,फॉसिल सी एस फाइव थाउजेंड फॉर सेट लिमिट एडिशन एंग्लो वॉच फॉर मेनजो आपको यहाँ से 
176,आई वांट अआई वांट अ माइक्रोवेव ओवन तेरा अस्तित्व क्या हैं 
177,वीवो उन्नीस सोलह मोबाइल
178,प्लीज टेल मीशू 
179,होम अप्लायंसेस चाहिए मुझ लेटेस्ट होम अप्लायंसेस
180,डाबो के फूल ब्लूटूथ होम थीएटर
181,लॉन्ग टाइमफोर के टी वी दिखाइए आई लाइक मीसस्ता वाला आई लाइक में बेटर 
182,मुझे नेचुरल कम्पोस्ट चाहिए गार्डनिंग के लिएहवा आए
183,कोनसा ऐक्रेलिक कलर आपके पास अवेलेबल हैं
184,पैक ऑफ ट्वेंटी फाइव वाला मास्क दिखा दो 
185,शीकार तेराहुस्न धुेयदार जैसे जलता सिगार तेरे प्यार का नशा
186,है क्या रेडमी का कवर
187,बैट एंड बॉल
188,प्रेगनेंट लेडी ड्रेसेस
189,फोर जी बी रैम सैमसंग
190,शो मी व्हाइट कलर ड्रेस अनारकली ड्रेस 
191,वेजिटेबल कटने वाला चाकू
192,मुझे एक गार्नियर मेन फेस वाश चाहिए
193,जिओ फोर जी डोंगल वाई फाई यूज करने के लिए
194,बूस्ट हॉर्लिक्स चॉकलेट मिल्कशेक चाहिए मुझे 
195,छोटा सा चार विंग वाला सिलिंग फैन
196,हैंड सैनिटाइज़र दिखाओ 
197,राखी चाहिए रक्षा बंधन के लिए 
198,सेलो कलर अपप्लास्टिक क्रेयॉनफॉर बॉयस
199,वीट टू इन वन क्लास थ्री काउल्टा परीक्षा वाला बुक
200,किड्सटॉयस चाहिए थासाथिया
201,मोटी से मोटी लड़की पहनने के लिए कपड़े दिखाओ 
202,उन्नीस हजार का मोबाइल दिखाइए 
203,का फोटोकितना है बोलिए 
204,हंड्रेड रूपीज स्लिपर्स डूइंग वर्क
205,डबल बेड बेडशीट चल रहे हैं आई वांट डबल बेड बेडशीटसाल पहले वर्ष अट्ठारह सौ तिरानब्बे में वेलवेट सिकागो के विश्वा धर्म सम्मेलन में स्वामी 
206,वाटर
207,जींस शर्ट फॉर मेन 
208,सस्ती साड़ी 
209,हार्ड डिस्क ऑफ वन फिफ्टी जी बी 
210,मुझे कहीं पहुँचना है ब्लूटूथ स्पीकर दिखानामै समझ गया
211,साथ साल बच्चे का ड्रेस कुछ बोलो 
212,हीरो होंडा बाइक स्टीकर्स फॉर माई बाइक 
213,ड्रेस बताओ 
214,स्मार्ट बैंड
215,डू यू हैव स्टीलबर्ड हेलमेट अंडर थाउजेंड रूपीज 
216,शो में सम गुड राखी सेट्सटू गिफ्ट 
217,नोट फोर इन वीवो 
218,इन्दुलेखा भ्रिंगराज ऑयल फॉर हेयर ग्रोथ 
219,बेडशीट्स में डिजाइन दिखाइए 
220,मुझे गलतमै बहुत सब्र से कामशिफॉन साड़ी दिखाना क्या करोगे तुम हाँ क्या करोगे  मुझे सिर्फ शिफॉन साड़ी चाहिएतुम्हे पता 
221,वॉल क्लॉक होगा क्या 
222,बॉयज शूज फ्रॉम द ब्रांड ऑफ नाइकी 
223,है हार्मनी एंड पीस प्रधान मंत्री मोदी ने जो बोला उसेटेबल चेयर दिखाइए ऑफिस के लिएदीपकने कर दिखाया लो प्राइस में दीपकऑक्सफोर्ड यूनिवर्सिटी की 
224,नाइंटीन इयर्स बॉय टी शर्ट हाउ मच 
225,थे काला कलर का चश्मा दिखाना ना हम
226,बेमिसालरेडमी रेडमी एट रूबी रेड फोर जी बी सिक्सटी फोर जी बी एक्स्पेंडेबल जी बी के साथहु 
227,सेल्फी स्टिक 
228,इनफिनिक्स मोबाइल लेटेस्ट वन विथ एट जी बी रैम 
229,जे बी एल ब्लूटूथ चाहिए मैडमअच्छा डिस्काउंट पे 
230,लाइट वाली मशीन कटिंग करने वाला 
231,आई वांट लेदर जैकेट 
232,ये फॉग डियोड्रेंट कितने का है 
233,मैरी गोल्ड बिस्कुट कितने का है 
234,निविया फुटबॉलब्लू एंड ग्रीन कलर कॉम्बिनेशन 
235,मोटोरोला का एसर नया वाला सिप वाला 
236,शो मी मामाअर्थ ओनियन शैंपू एंड हेयर ऑयल 
237,गर्ल्स के टॉप प्लाजा 
238,सुनताशो सम जैकेट्स फॉर बॉयज नाम अपना
239,मो मोंटी भाई मुझे ना पतारेडमी  मोबाइल फोन ऑनलाइन मोंटी भाई
240,डू यू हैव द स्टैंडर्ड एयरवन 
241,इस देयर कैश ऑन डिलीवरी अवेलेबल फॉर स्पोर्ट्स शूजहाँ
242,ऐड लेज इन माई बास्केट 
243,जेंट्स का नाइट पैंट है क्या आपके पास 
244,
245,जोर्जेट साड़ीज विदिन थाउजेंड 
246,स्केटबोर्ड रखते होटू द 
247,शो मी ऑल एक्सेसहेयर कटिंग प्रोडक्ट्स इन फ्लिपकार्ट 
248,आपके पास रबर हैंड ग्लब्स है क्या 
249,गाय का देसी घी कार्ट में डाल दोसा रे 
250,ओ कुछशो मी अनारकली सूट्स कमाल
251,पारले जी बिस्किट कितने का है
252,कैन आई वाच मोर एक्साइटिंग डील्स ऑन फ्लिपकार्ट 
253,एक फास्टट्रैक की घड़ी दिखाओ कश्मीरी लाल मिर्ची पाउडर
254,कहावत कहा करते थे छोटे सा बैंक चाहिए मुझेउनकी पहलीजो दुर्बल का साथ 
255,कूकिंग सेट दिखाइए 
256,शो मी रेड कलर बैंगल 
257,प्ले स्टेशन फाइव एवेलेबल है क्या फ्लिपकार्ट मे
258,आई डू नॉट नो व्हाट यू आर सेयिंग ऑल आई नो इज दैट आई केम टू पार्टी तेरी तो 
259,प्रेशर कुकर दीजिये 
260,अमीश त्रिपाठी की बुक मिलेगी क्या 
261,किलो आशीर्वाद आटा का रेट कितना पड़ेगा 
262,छोटे बच्चों की साइकिल 
263,वाइल्ड क्राफ्ट पॉल्यूशन मास्क एंटी बैक्टीरियल मास्क 
264,शो मी बनारसी साड़ी 
265,विंडो कार्टस मे क्या है आप के पास  तेरे इश्क मे खुद ही 
266,योर बेटर आईज इज थंडर ऑल व्हाइट शूज योर बेटर शाइन जस्ट लाइक सन
267,मिल्टन थर्मस स्टील फाइव हंड्रेड एम एल फ्लास्क 
268,लहंगा दिखायो पिंक दिखायो
269,शो मी क्लचिस एंड स्लिम बैग्स 
270,सैमसंग फोस्टर फ्रीज का रेफ्रिजरेटर का प्राइस क्या होगा 
271,शो मी ए माइक्रोवेव ओवन ऑफ खाने मे क्या बनाए आई एफ बी बिलो टेन के 
272,बारिश से बचने के लिए छाता देनाकर लिया
273,छाता है क्या 
274,क्लाइंटहमें बहस तो नही चाहिए 
275,एक बढ़िया क्वालिटी के लॉक की जरुरत है मुझे 
276,मध्य प्रदेशएथिनिक वियर भी है क्या पहचान बच्चों के शिवराज मामा की है
277,राशि आर्ट वॉच दिखा दो 
278,कुछ नया आइटम दिखायो और पास दे दूनहीं नहीं
279,भाग्य लक्ष्मी पोहा पैकेट दो देना 
280,स्टाइलिश स्टाइलिश बेड 
281,फोल्डिंग वाली डाइनिंग टेबल है क्या आप के पास
282,रेडमी के ट्वेंटी प्रोफ्लेम रेड 
283,एक किलो अदरक का क्या मोल है 
284,आई वांट वुडन थ्री डोर अल्मीरा 
285,जॉर्जट साड़ीज विद इन थाउजेंड 
286,आजाफोन्स बिलो फाइव थाउजेंड 
287,क्वीन साइज बेडशीट
288,कुछ और दिखाइए ब्लेज़र मेमें
289,ट्राई बेस्ट डॉग्स बित्चेस ग्रेटर टूपापा यू के टाइप
290,असूस आई सेवन वाला लैपटॉप दिखाइए  
291,सुन्दर सा एक ड्रेस परी का दिखा 
292,प्लास्टिक के कंटेनर दिखा दो एक बार 
293,रानी पानी ले कर आना बेटा मुझे टेबल चाहिए रानी सुन रहे हैं क्या बेटा 
294,बोलो क्या चाहिए शांति
295,आई वांट बनारसी सिल्क साड़ी अंडर टू थाउजेंड रूपीजबाहों तेरे
296,सोफा लेदर वाला लेदर वाला सोफा दिखाओ क्या ले
297,टेडी बेयर फॉर गर्ल्स 
298,डिनर सेट दिखाइए थोड़ा सस्ता वाला अच्छा अच्छा वाला सस्ता सस्ता और अच्छा वाला जांच करने की बात
299,एक सुकून कोलगेट दिखाओ मिला
300,शो मी मधु शुगर एंड आशीर्वाद आटा टेन केजी 
301,इज बिहार शिफॉन साड़ी  
302,बस वो लिखा था बुआ कूलर मंगवा दो मेरे लिए 
303,कूलर के रेंज क्या हैं 
304,टैबलेट की लिस्ट दिखा दो
305,ए गुड रिंग लाइट आई ए अफोर्डेबल प्राइस 
306,वाटरप्रूफ डिजिटल वॉच 
307,बच्चों का डायपर मिलेगा इधर 
308,कितना होगया टोटल बहुत दमदार हैं 
309,मुझे एक किलो मैदा चाहिए 
310,थैंक्यू डबल बेड का मैट्रेस दिख दो आई लव यू
311,जानअब बस हो गया ये पुलिस वाले 
312,क्या आप मुझे कारवां रेडियो का रेट बता सकते हैं 
313,छोटे बच्चो के जंपसूट दिखाना क्या मसला होगा 
314,कैप्टन अमेरिका वाला शील्ड 
315,गैस स्टोव चाहिए 
316,विटामिन सी टैबलेट 
317,हाउ मच इज फाइव न्यू मॉडल नाइकीस्नीकर्स 
318,अजन्ता वाली वॉल की घड़ी 
319,प्रेशर कुकर चाहिए था 
320,लेनोवो के सस्ते वाले लैपटॉप दिखाओ हू कनफर्म्ड माई केस ऑफ कोविड नाइंटीन
321,भेदता पार्थ लक्ष्य को भेदती हैं धनुर्धर की आंखें महाराज की जॉयस्टिकतुम्हारी आँखों में
322,ये फेयर एंड हैंडसम कितने का हैं 
323,नाइटी भीलुंगी लुंगी चाहिए 
324,एक्टिवा फोर जी कितने का हैं प्राइस कितना हैं इसका 
325,आई वांट लैक्मे नाइन टू फाइव प्राइमर विथ मैट लिप कलर 
326,मुझे नॉन स्टिक तवा और कुकर चाहिए 
327,साइलेंट टूडॉगी शैंपू इट इज इंपॉर्टेंट टू नो दैट एनोदर सेक्शन ऑफ केबल 
328,वी गार्ड यू पी एस दिखाइए 
329,जापान हैं और बताओ ब्रेसलेट हैं क्या और साउथ कोरिया और जापान
330,चुनरी दिखा दो गर्ल्स चुनरी व्हिच गिव्स यू 
331,रियलमी फाइव एस के लिए फास्ट चार्जर चाहिए 
332,होल मूंग पैकेट को कार्ट से हटा दीजिये 
333,शो मी रनिंग शूजअंडर फाइव हंड्रेड 
334,जूसर और मिक्सर दोनों 
335,वीवो वाइ पंद्रह बरगंडी में बरगंडी रेड आता हैं ना वो 
336,साड़ी दिखाओ 
337,बेसहारा पल्सर के स्पेयर पार्ट्स दिखाना पल्सर गाड़ी के स्पेयर पार्ट्स 
338,एक अच्छा सा शूज चाहिए 
339,के मसाले कितने में मिलेंगे 
340,शो मी डिफरेंट कलर्स ऑफ 
341,डॉल्स टेंट हाउस 
342,पपीते के बीज दिखाओ 
343,रानी टैबलेट मेरेको नहीं खाना टेबलेट दिखाओरखदो बेटा खाले जोर सेठीक हैं ठीक हैं ठीक हैं 
344,शर्टशो मी रेड कलर लैक्मे लिपस्टिक 
345,रॉक सॉल्ट होगा क्या 
346,तेरे नाल जे बी एल के स्पीकर्स कितने के हैं 
347,डेटॉल एंटीसेप्टिक लिक्विड देदो 
348,विंडोज के लिए पर्दा दिखाइए प्लीज 
349,वोल्टासडोंट लेट मी डाउनवोल्टास ए सी चाहिए वोल्टास ए सी वन प्वाइंट फाइव टन थ्री स्टार 
350,आई वांट शूजभूल 
351,मंजे लिपस्टिक दो नाकबूतर का बच्चा मम्मा मम्मा
352,ब्लैक सलवार एंड ब्लू कलर टॉप 
353,गर्ल्स हैंडबैग फ्रॉम द ब्रांड ऑफ कपरिसी
354,आई एम लुकिंग फॉर टेन टू इलेवन इयर्स गर्ल्स नाइट 
355,नाइट सूट इन वेलवेट आपको कुछ चाहिए बोलिए नही नथिंग आई डोंट नीड एनीथिंग
356,लेनोवो थिंकपैड लैपटॉप ऑनलाइन होना 
357,आई वांट फिलिप्स पोर्टेबल ब्लूटूथ स्पीकर ब्लैक कलर विच हैज मोनो चैनल
358,वांट सम डेयरी मिल्क चॉकलेट
359,काँच की चूड़ियाँ दिखाओ 
360,साड़ीज लड़कियों के लिए
361,न्यूयॉर्क संबलपुरी साड़ी दोपढ़ी लिखी हो तो क्या तुम 
362,रियलमी का लेटेस्ट मॉडल बताओ ओह माई गॉड 
363,एवेंजर टॉयज फॉर किड्स तेरा बाप यहाँ पे छोड़ कर गया था या तेरी माँ 
364,वैसे ऐथलीट व्हर्लपूल फ्रॉस्ट फ्री ट्रिपल डोर रेफ्रिजरेटर और ये पिक्चर बहुत ही रियलिस्टिक है
365,सहयोगी दल रेफ्रिजरेटर होगा क्या आपके पासका वसुंधरा पर बड़ा आरोप कहा गहलोत सरकार को बचाने की कोशिश में शामिल 
366,शो मी फ्रेश ग्रॉसरी आइटम्स विच इज डिलिवरेबल ऑन माई एड्रेस
367,वन प्लस सेवन का कवर दिखाइएनही नही नही वन प्लस सेवन टी
368,मोटी से मोटी लड़की पहनने के लिए कपड़े दिखाओ
369,इफ यू वांटप्लास्टिक के गोल डब्बे दाल रखने के लिए नेम सेलेक्शनयू कैन 
370,नहीं मैं पानीमुझे टी शर्ट चाहिए नही खाऊँगा
371,सैमसंग का अभी लेटेस्ट मोबाइल दिखाओ मोहब्बत करने चला है तू
372,राजस्थानी मोजड़ी दिखाओ 
373,की इंसान के लिए कुछ भी करना असंभव है ऐसा सोचना सबसे बड़ा विधर्म है अगर कोई पाप है लिप बाम स्ट्रॉबेरी फ्लेवरतुम निर्बल हो
374,काला कलर का चश्मा दिखाना 
375,गॉगल्स अंडर टू हंड्रेड रूपीज
376,हम हम कट कॉटन सूटसे उल्टा रास्ता पकड़ीइधर से 
377,बेडशीट चाहिए 
378,बात चार साल पुरानी है मोबाइल की कवरबच्ची थी बच्ची
379,रिच क्रीमप्राइस ऑफ सिल्क साड़ी 
380,दुल्हन वाला सिंपल हार ऑल्सो मीन दिसडू यू हैव
381,मार्वल्स एक्शन फिगर वॉल स्टीकर फॉर किड्स रूम 
382,सैनिटाइज़र में कोई डिस्काउंट है 
383,राजस्थान रिमोट कंट्रोल टॉयज बच्चे काकांग्रेस पार्टी फाइटिंग द 
384,ब्लेजर लॉन्ग टॉप बहुत सारा 
385,एल जी के छोटे फ्रिज का रेट बताओनागरिक 
386,शो मी ए ब्लेजरबहुत समझायहाँ
387,अच्छा डिस्काउंट में अच्छा रनिंग शूज दिखा दो अच्छा वाला 
388,वो भी हो सकती है आई नीड ए रिक्लाइनरबहुत कम बिलो रिक्लाइनरफिफ्टीन केफार्मा कंपनी में कंसल्टेंट के तौर पे काम करते है ओके दीपक
389,कैन आई गेट फाइव केजीस ऑफ हैंडवॉश
390,सैमसंग एम थर्टी वन 
391,सिक्स लेयर फिल्टर वाला रीयूजेबल मास्क दिखाइए मुख्यमंत्री अपने आप को प्रधानमंत्री कहते है
392,
393,व्हाट इज द प्राइस ऑफ निकॉन डी एस एल आर कैमरामेडिकलसे सम्बंधित 
394,गो प्रो सेवन सस्ता वाला 
395,चाहिए मुझे कोका कोलासुन रही हूँ सुध बुध 
396,से अपना अपना पियो कैन यू ऐड अमूल मिल्क चॉकलेट टू माई बास्केट उस समय आपके साथ एक ट्रेनर 
397,व्हेन विल बी द लॉन्च ऑफ न्यू मोबाइल्स ऑफ रियलमी 
398,मेरी बहनों को जूता से मारना है जूता दिखाओ 
399,भइया फ्रिज का फीचर्स बताओ ना मुझे झंडू बाम लेना हैकौन सा हैकहा से लियो फ्रिज
400,रेडमी नोट नाइन प्रो
401,टाटा टी ऑफर्स 
402,पबजी के लिए मोबाइल 
403,बार्बी स्विमिंग सूट बार्बी
404,मुझे सुंदर झुमके दिखाइए
405,पाँच किलो का टाइड सर्फ दे दो
406,प्रेशर कुकर दिखाओ पाँच लीटर
407,बोलो क्या चाहिए बोलो बोलो बोलो बोलो भैया टाटा का ए सी दिखाइए वन प्वाइंट फाइव टन 
408,देयर इज ए लॉकडाउन अच्छा वाला ऑफ़र में मोबाइल टू वीक्स टिल जुलाई थर्टी फर्स्ट
409,कैरम बोर्ड विथ गुड मटेरियल
410,स्टीमर मिलेगा क्या तुम्हारे पास 
411,रियलमी फाइव आई फोर जी बी
412,लैक्मे का कॉम्पैक दिखाना तो
413,पुजा करने वाला सामान 
414,डॉक्टर सेट 
415,मेन्स चेक्स टी शर्ट
416,फिफ्टीन वॉट एल इ डी बल्ब दिखाइए फिलिप्स का मध्य प्रदेश के 
